Time_seconds,EI_raw,EI_median,Blink,Delta_filt_avg_smoothed,Theta_filt_avg_smoothed,Alpha_filt_avg_smoothed,Beta_filt_avg_smoothed,Gamma_filt_avg_smoothed,Heart_Rate
499.6,1.7271530668145538,1.7271530668145538,0,4.802834719783652,6.469273370200852,7.11411232817135,23.460586266668496,16.629175342706116,62.442598115323655
500.6,1.7304799497225476,1.7304799497225476,0,4.802834719783652,6.453790730072226,7.1086157661121785,23.469472511633942,16.649213991504187,62.44082312195152
501.6,1.7339507769176532,1.7339507769176532,0,4.802834719783652,6.437187741769459,7.103943249866223,23.479654603290403,16.67151331012821,60.49242129805367
502.6,1.7375651001173675,1.7375651001173675,0,4.802834719783652,6.419495001643967,7.103493444215763,23.491153837219677,16.695903260305116,84.48382499449492
503.6,1.7413221589284338,1.7413221589284338,0,4.802834719783652,6.400744940813647,7.103493444215763,23.503987458711453,16.7222057376372,72.97770596688713
504.6,1.74522086543935,1.74522086543935,0,4.803972613077027,6.380971691966646,7.103493444215763,23.518168408123213,16.75023548890605,62.64076106876265
505.6,1.749259787878899,1.749259787878899,0,4.805161994970273,6.360210960751222,7.103493444215763,23.53370506204665,16.779801071374898,72.40655030934974
506.6,1.7534371333977665,1.7534371333977665,0,4.80636087068501,6.338499903335075,7.103493444215763,23.550600973413697,16.81070584764079,59.642012912759576
506.649,1.7577507299802728,1.7577507299802728,1,4.8075267468668255,6.315877011426513,7.103493444215763,23.568854613394212,16.84274900894797,64.39325728513367
507.6,1.7621980074590948,1.7621980074590948,0,4.8075267468668255,6.292382005901471,7.103493444215763,23.588459117905792,16.875726619640925,69.14450165750777
508.6,1.766775977638763,1.766775977638763,0,4.8075267468668255,6.268055740116045,7.103493444215763,23.60940204205442,16.909432675648475,64.77073037448
509.6,1.7714812136301854,1.7714812136301854,0,4.8075267468668255,6.2429401139087135,7.103493444215763,23.631665126682627,16.943660170270107,71.66614341632996
510.6,1.7763098286185666,1.7763098286185666,0,4.8075267468668255,6.217077999134617,7.103493444215763,23.655224081965194,16.978202160875835,60.08397333888799
511.6,1.7812574543820958,1.7812574543820958,0,4.8075267468668255,6.1905131773362925,7.103493444215763,23.68004839324454,17.01285283033722,65.68441417707153
512.6,1.7863192199106488,1.7863192199106488,0,4.8075267468668255,6.163290289909227,7.107630657274495,23.706101153869113,17.047408536921406,63.75412829014209
513.6,1.7914897304418713,1.7914897304418713,0,4.8075267468668255,6.135454800881252,7.1123682402579345,23.733338928912055,17.081668845830453,71.92065304997013
514.6,1.7967630471719724,1.7967630471719724,0,4.8075267468668255,6.1070529721523155,7.117680077763623,23.761711652802855,17.11543753460109,69.73715213453855
515.187,1.802132667838099,1.802132667838099,1,4.8075267468668255,6.078131850737115,7.123539140520801,23.79116256339647,17.14852356355916,71.3674185948368
515.6,1.8075915083049172,1.8075915083049172,0,4.8075267468668255,6.048739267263129,7.129917561554409,23.82162817463519,17.180742002071057,72.99768505513508
516.6,1.8131318852161638,1.8131318852161638,0,4.806307646842663,6.018923844709878,7.136786715477884,23.85303828935143,17.211914902031424,75.44619129276975
517.6,1.8187454997181003,1.8187454997181003,0,4.803935988162989,5.988735016091523,7.144117302462497,23.885316052832543,17.241872111901593,59.272493056438265
518.6,1.824423422270725,1.824423422270725,0,4.801049603127206,5.958223049446886,7.151879438229219,23.918378046885984,17.270452026991705,62.713188834528474
519.6,1.8301560786677555,1.8301560786677555,0,4.797624694722764,5.927439078120758,7.160042750942923,23.95213442391469,17.2975022736876,66.90167627105782
520.6,1.8359332375738842,1.8359332375738842,0,4.79364019377749,5.896435133975148,7.168576485378704,23.986489081260732,17.322880326510443,70.14711190363404
521.6,1.8417440000839838,1.8417440000839838,0,4.789077848013273,5.865264180941767,7.177449614371996,24.021339877331727,17.346454057395093,59.51777809857071
522.457,1.8475767919322337,1.8475767919322337,1,4.783922289228704,5.833980146220741,7.186630957389726,24.056578891805845,17.36810221684386,62.09430958688142
522.6,1.8534193590079229,1.8534193590079229,0,4.778161079713138,5.802637946402344,7.196089305927812,24.092092731932574,17.387714847065297,64.67084107519214
523.6,1.8592587668073512,1.8592587668073512,0,4.771784739373112,5.771293505843429,7.205793555197461,24.12776288586252,17.40519362795198,65.73548172276499
524.6,1.8650814044196649,1.8650814044196649,0,4.764786755129605,5.7400037648028785,7.215712841197362,24.163466122782104,17.420452157646306,65.04385906038937
525.6,1.8708729936347004,1.8708729936347004,0,4.757163574116122,5.708826675150302,7.225816681874964,24.19907493895505,17.42934934122552,68.79503636799056
526.6,1.8766186037542925,1.8766186037542925,0,4.748914582203511,5.677821181948069,7.236075120726003,24.234458048551936,17.42934934122552,78.38913598365208
527.6,1.8823026726422467,1.8823026726422467,0,4.740042069386373,5.647047189895435,7.246458870890807,24.26948091794695,17.42934934122552,62.5593623087283
528.6,1.8879090344468552,1.8879090344468552,0,4.730551183493928,5.6165655144106506,7.256939457606567,24.304006341667815,17.42934934122552,56.463447394936374
529.6,1.8934209542983755,1.8934209542983755,0,4.720449873494509,5.586437817790703,7.267489356775008,24.33789505734803,17.42934934122552,74.80993887901228
530.126,1.8988211701533613,1.8988211701533613,1,4.709748823393545,5.556726531260258,7.278082127388654,24.37100639591022,17.42934934122552,68.07160935344885
